"Path","LineNumber","Line"
"E:\EduNexus\app\page.tsx","73","      window.location.href = role === 'RECEPTIONIST' ? '/dashboard/reception' : '/dashboard';"
"E:\EduNexus\app\dashboard\institutional\people\admins\basic-info\page.tsx","211","                  <Link href={`/dashboard/admins/basic-info/${a.id}`}>"
"E:\EduNexus\app\dashboard\institutional\people\admins\basic-info\[id]\page.tsx","215","      router.push('/dashboard/admins/basic-info');"
"E:\EduNexus\app\dashboard\institutional\people\admins\basic-info\[id]\page.tsx","270","          onClick={() => router.push('/dashboard/admins/basic-info?openModal=true')}"
"E:\EduNexus\app\dashboard\institutional\people\admins\register\page.tsx","9","    router.replace('/dashboard/admins/basic-info?openModal=true');"
"E:\EduNexus\app\dashboard\institutional\people\family\basic-info\page.tsx","227","                    <Link href={`/dashboard/family/basic-info/${s.id}`}>"
"E:\EduNexus\app\dashboard\institutional\people\family\register\page.tsx","9","    router.replace('/dashboard/family/basic-info?openModal=true');"
"E:\EduNexus\app\dashboard\institutional\people\participants\basic-info\page.tsx","230","                    <Link href={`/dashboard/participants/basic-info/${s.id}`}>"
"E:\EduNexus\app\dashboard\institutional\people\students\page.tsx","71","        <button className=""btn-premium"" style={{ display: 'flex', alignItems: 'center', gap: '10px' }} onClick={() => router.push('/dashboard/students/register')}>"
"E:\EduNexus\app\dashboard\institutional\people\students\academic-info\page.tsx","61","            href=""/dashboard/students/register"""
"E:\EduNexus\app\dashboard\institutional\people\students\basic-info\page.tsx","273","                      <Link href={`/dashboard/students/basic-info/${s.id}`}>"
"E:\EduNexus\app\dashboard\institutional\people\students\pre-enrollment\page.tsx","70","           <Link href=""/dashboard/students/register"" className=""btn-premium"" style={{ background: '#2563eb', color: 'white', display: 'flex', alignItems: 'center', gap: '8px', padding: '12px 24px', borderRadius: '12px', fontWeight: '800', textDecoration: 'none', boxShadow: '0 8px 16px -4px rgba(37, 99, 235, 0.3)' }}>"
"E:\EduNexus\app\dashboard\institutional\people\students\register\page.tsx","8","    router.replace('/dashboard/students/basic-info?openModal=true');"
"E:\EduNexus\app\dashboard\institutional\people\teachers\page.tsx","9","    router.replace('/dashboard/teachers/basic-info');"
"E:\EduNexus\app\dashboard\institutional\people\teachers\basic-info\page.tsx","210","                    <Link href={`/dashboard/teachers/profile/${t.id}`}>"
"E:\EduNexus\app\dashboard\institutional\people\teachers\profile\[id]\page.tsx","210","          href=""/dashboard/teachers/register"""
"E:\EduNexus\app\dashboard\institutional\people\teachers\register\page.tsx","8","    router.replace('/dashboard/teachers/basic-info?openModal=true');"
